impl,weights,backends,table,disruption,ideal,excess,peak_to_mean,min_to_mean,cv,build_us,update_us,cycles_per_lookup,ins_per_lookup,ns_per_lookup
katran-maglev,equal,8,65537,0.128679,0.125000,0.003679,1.0049,0.9978,0.0021,1112.9,928.6,8.17,8.00,1.60
katran-maglev-v2,equal,8,65537,0.128679,0.125000,0.003679,1.0049,0.9978,0.0021,925.2,913.6,8.23,8.00,1.59
katran-maglev,equal,8,16381,0.128794,0.125000,0.003794,1.0050,0.9959,0.0028,215.3,210.1,8.19,8.00,1.62
katran-maglev-v2,equal,8,16381,0.128794,0.125000,0.003794,1.0050,0.9959,0.0028,213.6,214.4,8.09,8.00,1.57
katran-maglev,equal,8,4093,0.135664,0.125000,0.010664,1.0036,0.9953,0.0028,49.8,51.9,8.06,8.00,1.65
katran-maglev-v2,equal,8,4093,0.135664,0.125000,0.010664,1.0036,0.9953,0.0028,48.4,48.4,8.01,8.00,1.55
katran-maglev,skewed,8,65537,0.128654,0.125000,0.003654,1.0049,0.9976,0.0021,953.3,889.4,8.07,8.00,1.55
katran-maglev-v2,skewed,8,65537,0.128232,0.125000,0.003232,1.6010,0.4002,0.4459,973.0,910.3,8.17,8.00,1.58
anchorhash,equal,8,8,0.125000,0.125000,0.000000,1.0048,0.9961,0.0028,1.1,0.0,7.12,34.00,1.37
dpvs-conhash,equal,8,160,0.125000,0.125000,0.000000,1.0908,0.8275,0.0889,430.9,36.7,868.27,2292.94,167.58
dpvs-conhash,skewed,8,160,0.125000,0.125000,0.000000,1.6119,0.3770,0.4675,1129.1,120.9,930.51,2303.04,183.42
katran-maglev,equal,16,65537,0.065886,0.062491,0.003395,1.0047,0.9937,0.0032,1053.7,1048.2,8.19,8.00,1.60
katran-maglev-v2,equal,16,65537,0.065886,0.062491,0.003395,1.0047,0.9937,0.0032,1000.5,1055.3,8.15,8.00,1.58
katran-maglev,equal,16,16381,0.069765,0.062494,0.007270,1.0048,0.9936,0.0031,252.7,246.3,8.08,8.00,1.57
katran-maglev-v2,equal,16,16381,0.069765,0.062494,0.007270,1.0048,0.9936,0.0031,254.0,253.6,8.09,8.00,1.58
katran-maglev,equal,16,4093,0.074459,0.062543,0.011916,1.0055,0.9931,0.0033,53.0,53.8,8.07,8.00,1.63
katran-maglev-v2,equal,16,4093,0.074459,0.062543,0.011916,1.0055,0.9931,0.0033,54.2,53.8,8.04,8.00,1.54
katran-maglev,skewed,16,65537,0.065869,0.062484,0.003385,1.0048,0.9940,0.0033,1089.6,1043.6,8.09,8.00,1.56
katran-maglev-v2,skewed,16,65537,0.052854,0.050041,0.002813,1.6044,0.3979,0.4466,1065.2,1087.4,8.11,8.00,1.55
anchorhash,equal,16,16,0.062527,0.062527,0.000000,1.0056,0.9931,0.0035,0.6,0.0,7.24,34.00,1.42
dpvs-conhash,equal,16,160,0.060245,0.060245,0.000000,1.1223,0.8301,0.0786,941.5,53.8,923.82,2300.64,179.61
dpvs-conhash,skewed,16,160,0.049470,0.049470,0.000000,1.6902,0.3370,0.4571,2750.7,111.9,1014.61,2310.72,201.04
katran-maglev,equal,32,65537,0.035167,0.031189,0.003978,1.0105,0.9900,0.0052,1259.2,1183.9,8.19,8.00,1.61
katran-maglev-v2,equal,32,65537,0.035167,0.031189,0.003978,1.0105,0.9900,0.0052,1232.5,1181.8,8.05,8.00,1.59
katran-maglev,equal,32,16381,0.040006,0.031234,0.008771,1.0100,0.9902,0.0054,268.6,263.2,8.04,8.00,1.56
katran-maglev-v2,equal,32,16381,0.040006,0.031234,0.008771,1.0100,0.9902,0.0054,270.7,270.9,8.12,8.00,1.58
katran-maglev,equal,32,4093,0.050686,0.031270,0.019416,1.0078,0.9844,0.0048,61.1,59.3,8.22,8.00,1.63
katran-maglev-v2,equal,32,4093,0.050686,0.031270,0.019416,1.0078,0.9844,0.0048,61.0,59.2,8.05,8.00,1.59
katran-maglev,skewed,32,65537,0.034988,0.031163,0.003825,1.0104,0.9890,0.0053,1244.4,1203.8,7.99,8.00,1.58
katran-maglev-v2,skewed,32,65537,0.015630,0.012439,0.003191,1.6082,0.3943,0.4471,1285.1,1281.7,8.14,8.00,1.58
anchorhash,equal,32,32,0.031168,0.031168,0.000000,1.0078,0.9902,0.0048,0.7,0.1,7.16,34.00,1.43
dpvs-conhash,equal,32,160,0.031015,0.031015,0.000000,1.1550,0.8668,0.0802,2151.1,63.7,990.49,2308.12,196.26
dpvs-conhash,skewed,32,160,0.012708,0.012708,0.000000,1.6967,0.3349,0.4446,5210.5,53.9,1127.52,2318.18,217.98
katran-maglev,equal,64,65537,0.020414,0.015570,0.004844,1.0230,0.9852,0.0072,1284.9,1232.2,8.13,8.00,1.59
